timestamp,flight_id,aircraft_reg,altitude_ft,airspeed_kts,vertical_speed_fpm,pitch_deg,roll_deg,heading_deg,engine1_n1_pct,engine2_n1_pct,engine1_egt_c,engine2_egt_c,flap_position,gear_position,groundspeed_kts,latitude,longitude,phase
2022-01-12 13:41:00,FDM6522D,G-MNOP,0,0,0,1.1,0.1,045,22.0,21.8,410,408,0,1,0,55.9500,-3.3625,PRE_FLIGHT
2022-01-12 13:41:30,FDM6522D,G-MNOP,0,0,0,1.1,0.1,045,44.5,44.3,520,518,0,1,0,55.9500,-3.3625,PRE_FLIGHT
2022-01-12 13:42:00,FDM6522D,G-MNOP,0,3,0,1.2,0.2,046,67.8,67.6,610,608,5,1,3,55.9502,-3.3628,TAXI
2022-01-12 13:43:00,FDM6522D,G-MNOP,0,9,0,1.4,0.3,048,71.8,71.6,617,615,5,1,9,55.9510,-3.3645,TAXI
2022-01-12 13:44:00,FDM6522D,G-MNOP,0,22,0,2.3,0.4,050,84.5,84.3,643,641,10,1,22,55.9522,-3.3670,TAKEOFF_ROLL
2022-01-12 13:44:13,FDM6522D,G-MNOP,0,88,320,5.6,1.2,050,93.8,93.6,683,681,10,1,88,55.9533,-3.3695,TAKEOFF_ROLL
2022-01-12 13:44:23,FDM6522D,G-MNOP,0,140,880,8.9,1.7,050,96.5,96.3,716,714,10,1,140,55.9545,-3.3720,TAKEOFF_ROLL
2022-01-12 13:44:33,FDM6522D,G-MNOP,160,152,1280,11.0,2.3,051,93.5,93.3,706,704,10,0,152,55.9560,-3.3748,INITIAL_CLIMB
2022-01-12 13:44:46,FDM6522D,G-MNOP,420,162,1620,10.4,2.7,051,92.2,92.0,699,697,5,0,162,55.9578,-3.3778,INITIAL_CLIMB
2022-01-12 13:45:30,FDM6522D,G-MNOP,1100,175,1950,8.7,3.5,052,91.0,90.8,691,689,5,0,175,55.9620,-3.3850,CLIMB
2022-01-12 13:47:00,FDM6522D,G-MNOP,3800,218,2150,6.7,3.1,054,88.5,88.3,677,675,0,0,218,55.9820,-3.4250,CLIMB
2022-01-12 13:51:00,FDM6522D,G-MNOP,9800,272,1950,4.5,1.5,057,85.8,85.6,663,661,0,0,272,56.0450,-3.5500,CLIMB
2022-01-12 13:59:00,FDM6522D,G-MNOP,23000,342,1450,3.1,0.9,060,82.8,82.6,648,646,0,0,342,56.2200,-3.9000,CLIMB
2022-01-12 14:14:00,FDM6522D,G-MNOP,35500,440,180,0.9,0.3,064,77.2,77.0,619,617,0,0,440,56.5500,-4.6000,CRUISE
2022-01-12 14:30:00,FDM6522D,G-MNOP,37000,453,0,0.7,0.2,068,76.2,76.0,614,612,0,0,453,56.9000,-5.8000,CRUISE
2022-01-12 14:55:00,FDM6522D,G-MNOP,37000,451,-3,0.8,0.3,072,75.9,75.7,613,611,0,0,451,57.3000,-8.0000,CRUISE
2022-01-12 15:20:00,FDM6522D,G-MNOP,37000,456,6,0.9,0.4,075,75.6,75.4,612,610,0,0,456,57.5000,-10.5000,CRUISE
2022-01-12 15:55:00,FDM6522D,G-MNOP,32500,412,-920,1.6,1.2,078,73.5,73.3,605,603,0,0,412,57.2000,-13.5000,DESCENT
2022-01-12 16:12:00,FDM6522D,G-MNOP,22500,372,-1320,2.3,1.7,081,71.5,71.3,595,593,0,0,372,56.9000,-15.2000,DESCENT
2022-01-12 16:24:00,FDM6522D,G-MNOP,14500,322,-1620,3.5,2.4,084,69.8,69.6,582,580,5,0,322,56.5500,-16.4000,DESCENT
2022-01-12 16:33:00,FDM6522D,G-MNOP,7500,282,-1320,4.5,3.1,086,67.8,67.6,570,568,10,0,282,56.2500,-17.3000,APPROACH
2022-01-12 16:38:30,FDM6522D,G-MNOP,4200,238,-1020,5.7,3.5,087,64.8,64.6,555,553,20,0,238,56.0200,-17.9000,APPROACH
2022-01-12 16:41:30,FDM6522D,G-MNOP,2400,202,-760,6.5,2.7,088,62.2,62.0,542,540,30,1,202,55.8800,-18.3000,APPROACH
2022-01-12 16:43:30,FDM6522D,G-MNOP,1350,178,-645,7.1,2.1,088,59.8,59.6,532,530,35,1,178,55.8000,-18.5500,FINAL_APPROACH
2022-01-12 16:44:30,FDM6522D,G-MNOP,820,164,-582,7.7,1.7,088,57.5,57.3,523,521,40,1,164,55.7600,-18.6600,FINAL_APPROACH
2022-01-12 16:45:15,FDM6522D,G-MNOP,430,154,-525,8.1,1.4,088,55.2,55.0,514,512,40,1,154,55.7380,-18.7200,FINAL_APPROACH
2022-01-12 16:45:50,FDM6522D,G-MNOP,190,146,-455,8.7,1.1,088,53.0,52.8,506,504,40,1,146,55.7230,-18.7600,LANDING_FLARE
2022-01-12 16:46:10,FDM6522D,G-MNOP,65,138,-308,7.8,0.7,088,49.8,49.6,491,489,40,1,138,55.7180,-18.7750,LANDING_FLARE
2022-01-12 16:46:22,FDM6522D,G-MNOP,0,132,0,2.4,0.3,088,41.2,41.0,467,465,40,1,132,55.7160,-18.7800,TOUCHDOWN
2022-01-12 16:46:35,FDM6522D,G-MNOP,0,108,0,1.4,0.2,088,31.2,31.0,447,445,40,1,108,55.7160,-18.7800,LANDING_ROLL
2022-01-12 16:46:50,FDM6522D,G-MNOP,0,68,0,0.9,0.1,088,23.5,23.3,425,423,40,1,68,55.7160,-18.7800,LANDING_ROLL
2022-01-12 16:47:05,FDM6522D,G-MNOP,0,38,0,0.6,0.1,088,21.0,20.8,417,415,20,1,38,55.7160,-18.7800,LANDING_ROLL
2022-01-12 16:47:25,FDM6522D,G-MNOP,0,13,0,0.3,0.0,088,18.0,17.8,413,411,0,1,13,55.7161,-18.7801,TAXI
2022-01-12 16:47:45,FDM6522D,G-MNOP,0,6,0,0.2,0.0,088,14.8,14.6,409,407,0,1,6,55.7161,-18.7801,TAXI
2022-01-12 16:48:30,FDM6522D,G-MNOP,0,0,0,0.1,0.0,088,12.2,12.0,406,404,0,1,0,55.7162,-18.7802,POST_FLIGHT
