timestamp,flight_id,aircraft_reg,altitude_ft,airspeed_kts,vertical_speed_fpm,pitch_deg,roll_deg,heading_deg,engine1_n1_pct,engine2_n1_pct,engine1_egt_c,engine2_egt_c,flap_position,gear_position,groundspeed_kts,latitude,longitude,phase
2022-01-13 00:02:00,FDM6522B,G-EFGH,0,0,0,1.1,0.1,092,21.8,22.0,408,410,0,1,0,53.3498,-6.2603,PRE_FLIGHT
2022-01-13 00:02:30,FDM6522B,G-EFGH,0,0,0,1.1,0.1,092,45.0,44.8,518,516,0,1,0,53.3498,-6.2603,PRE_FLIGHT
2022-01-13 00:03:00,FDM6522B,G-EFGH,0,3,0,1.2,0.2,092,68.0,68.2,608,606,5,1,3,53.3500,-6.2605,TAXI
2022-01-13 00:04:00,FDM6522B,G-EFGH,0,8,0,1.4,0.3,095,72.1,72.3,618,616,5,1,8,53.3510,-6.2620,TAXI
2022-01-13 00:05:00,FDM6522B,G-EFGH,0,18,0,2.2,0.4,098,84.0,83.8,642,640,10,1,18,53.3520,-6.2640,TAKEOFF_ROLL
2022-01-13 00:05:15,FDM6522B,G-EFGH,0,85,300,5.5,1.2,098,93.0,93.2,682,680,10,1,85,53.3528,-6.2660,TAKEOFF_ROLL
2022-01-13 00:05:25,FDM6522B,G-EFGH,0,135,900,8.8,1.6,098,96.2,96.4,715,713,10,1,135,53.3538,-6.2680,TAKEOFF_ROLL
2022-01-13 00:05:35,FDM6522B,G-EFGH,200,148,1300,10.8,2.2,099,93.2,93.4,705,703,10,0,148,53.3550,-6.2700,INITIAL_CLIMB
2022-01-13 00:05:50,FDM6522B,G-EFGH,500,158,1600,10.1,2.5,099,92.0,92.2,698,696,5,0,158,53.3565,-6.2730,INITIAL_CLIMB
2022-01-13 00:06:30,FDM6522B,G-EFGH,1200,170,1900,8.5,3.4,100,90.8,91.0,690,688,5,0,170,53.3600,-6.2800,CLIMB
2022-01-13 00:08:00,FDM6522B,G-EFGH,4000,215,2100,6.5,3.0,102,88.0,88.2,676,674,0,0,215,53.3800,-6.3200,CLIMB
2022-01-13 00:12:00,FDM6522B,G-EFGH,10000,265,1900,4.3,1.4,105,85.5,85.7,662,660,0,0,265,53.4400,-6.4200,CLIMB
2022-01-13 00:20:00,FDM6522B,G-EFGH,22000,330,1400,3.0,0.9,108,82.5,82.7,647,645,0,0,330,53.6000,-6.7000,CLIMB
2022-01-13 00:35:00,FDM6522B,G-EFGH,35000,440,300,1.0,0.4,112,77.0,77.2,618,616,0,0,440,54.0000,-7.5000,CRUISE
2022-01-13 01:00:00,FDM6522B,G-EFGH,37000,452,0,0.7,0.2,115,76.0,76.2,614,612,0,0,452,54.6000,-9.0000,CRUISE
2022-01-13 01:30:00,FDM6522B,G-EFGH,37000,455,-5,0.8,0.3,118,75.8,76.0,613,611,0,0,455,55.2000,-11.0000,CRUISE
2022-01-13 02:00:00,FDM6522B,G-EFGH,37000,460,8,0.9,0.5,120,75.5,75.7,612,610,0,0,460,55.5000,-13.5000,CRUISE
2022-01-13 02:30:00,FDM6522B,G-EFGH,33000,415,-900,1.6,1.2,122,73.5,73.7,604,602,0,0,415,55.4000,-16.0000,DESCENT
2022-01-13 02:50:00,FDM6522B,G-EFGH,22000,370,-1300,2.3,1.7,124,71.5,71.7,594,592,0,0,370,55.2000,-18.0000,DESCENT
2022-01-13 03:05:00,FDM6522B,G-EFGH,14000,315,-1600,3.5,2.3,126,69.5,69.7,581,579,5,0,315,54.9000,-19.5000,DESCENT
2022-01-13 03:15:00,FDM6522B,G-EFGH,8000,275,-1300,4.4,3.0,128,67.5,67.7,569,567,10,0,275,54.6000,-20.5000,APPROACH
2022-01-13 03:20:00,FDM6522B,G-EFGH,4500,235,-1000,5.5,3.4,129,64.5,64.7,554,552,20,0,235,54.4000,-21.2000,APPROACH
2022-01-13 03:23:00,FDM6522B,G-EFGH,2500,200,-750,6.4,2.6,130,62.0,62.2,541,539,30,1,200,54.2800,-21.7000,APPROACH
2022-01-13 03:25:00,FDM6522B,G-EFGH,1500,175,-640,7.0,2.0,131,59.5,59.7,531,529,35,1,175,54.2200,-21.9500,FINAL_APPROACH
2022-01-13 03:26:00,FDM6522B,G-EFGH,900,162,-580,7.5,1.6,131,57.2,57.4,522,520,40,1,162,54.1900,-22.0500,FINAL_APPROACH
2022-01-13 03:26:45,FDM6522B,G-EFGH,500,152,-520,8.0,1.3,131,55.0,55.2,514,512,40,1,152,54.1700,-22.1200,FINAL_APPROACH
2022-01-13 03:27:15,FDM6522B,G-EFGH,200,175,-480,8.5,1.0,131,53.8,54.0,505,503,40,1,175,54.1600,-22.1600,LANDING_FLARE
2022-01-13 03:27:30,FDM6522B,G-EFGH,80,168,-320,7.8,0.6,131,50.0,50.2,490,488,40,1,168,54.1580,-22.1680,LANDING_FLARE
2022-01-13 03:27:45,FDM6522B,G-EFGH,0,162,0,2.5,0.3,131,42.0,42.2,468,466,40,1,162,54.1570,-22.1720,TOUCHDOWN
2022-01-13 03:28:00,FDM6522B,G-EFGH,0,130,0,1.5,0.2,131,32.0,32.2,448,446,40,1,130,54.1570,-22.1720,LANDING_ROLL
